client_id,sessions-sum-client_id,sessions-count_not_na-client_id,sessions-max-client_id,sessions-count_nonzero-client_id,sessions-mean-client_id,sessions-sum_per_lead-client_id,sessions-count_not_na_per_lead-client_id,sessions-count_nonzero_per_lead-client_id,hits-sum-client_id,hits-count_not_na-client_id,hits-max-client_id,hits-count_nonzero-client_id,hits-mean-client_id,hits-sum_per_lead-client_id,hits-count_not_na_per_lead-client_id,hits-count_nonzero_per_lead-client_id,unique_events-sum-client_id,unique_events-count_not_na-client_id,unique_events-max-client_id,unique_events-count_nonzero-client_id,unique_events-mean-client_id,unique_events-sum_per_lead-client_id,unique_events-count_not_na_per_lead-client_id,unique_events-count_nonzero_per_lead-client_id,session_duration-sum-client_id,session_duration-count_not_na-client_id,session_duration-max-client_id,session_duration-count_nonzero-client_id,session_duration-mean-client_id,session_duration-sum_per_lead-client_id,session_duration-count_not_na_per_lead-client_id,session_duration-count_nonzero_per_lead-client_id,page_per_session-sum-client_id,page_per_session-count_not_na-client_id,page_per_session-max-client_id,page_per_session-count_nonzero-client_id,page_per_session-mean-client_id,page_per_session-sum_per_lead-client_id,page_per_session-count_not_na_per_lead-client_id,page_per_session-count_nonzero_per_lead-client_id,enquiries-sum-client_id,enquiries-count_not_na-client_id,enquiries-max-client_id,enquiries-count_nonzero-client_id,enquiries-mean-client_id,enquiries-sum_per_lead-client_id,enquiries-count_not_na_per_lead-client_id,enquiries-count_nonzero_per_lead-client_id,pageviews-sum-client_id,pageviews-count_not_na-client_id,pageviews-max-client_id,pageviews-count_nonzero-client_id,pageviews-mean-client_id,pageviews-sum_per_lead-client_id,pageviews-count_not_na_per_lead-client_id,pageviews-count_nonzero_per_lead-client_id,time_on_page-sum-client_id,time_on_page-count_not_na-client_id,time_on_page-max-client_id,time_on_page-count_nonzero-client_id,time_on_page-mean-client_id,time_on_page-sum_per_lead-client_id,time_on_page-count_not_na_per_lead-client_id,time_on_page-count_nonzero_per_lead-client_id,avg_time_on_page-sum-client_id,avg_time_on_page-count_not_na-client_id,avg_time_on_page-max-client_id,avg_time_on_page-count_nonzero-client_id,avg_time_on_page-mean-client_id,avg_time_on_page-sum_per_lead-client_id,avg_time_on_page-count_not_na_per_lead-client_id,avg_time_on_page-count_nonzero_per_lead-client_id,property_search-sum-client_id,property_search-count_not_na-client_id,property_search-max-client_id,property_search-count_nonzero-client_id,property_search-mean-client_id,property_search-sum_per_lead-client_id,property_search-count_not_na_per_lead-client_id,property_search-count_nonzero_per_lead-client_id,lead_dropped-sum-client_id,lead_dropped-count_not_na-client_id,lead_dropped-max-client_id,lead_dropped-count_nonzero-client_id,lead_dropped-mean-client_id,lead_dropped-sum_per_lead-client_id,lead_dropped-count_not_na_per_lead-client_id,lead_dropped-count_nonzero_per_lead-client_id,bounce_rate-sum-client_id,bounce_rate-count_not_na-client_id,bounce_rate-max-client_id,bounce_rate-count_nonzero-client_id,bounce_rate-mean-client_id,bounce_rate-sum_per_lead-client_id,bounce_rate-count_not_na_per_lead-client_id,bounce_rate-count_nonzero_per_lead-client_id,total_events-sum-client_id,total_events-count_not_na-client_id,total_events-max-client_id,total_events-count_nonzero-client_id,total_events-mean-client_id,total_events-sum_per_lead-client_id,total_events-count_not_na_per_lead-client_id,total_events-count_nonzero_per_lead-client_id,timestamp-gap-client_id,social_source_referral-value-client_id,contact_us_click-value-client_id,app_downloads-value-client_id,source-mode-client_id,source-search-count-client_id,source-leasing_website-count-client_id,source-chat_media-count-client_id,source-client-count-client_id,source-direct-count-client_id,source-google-count-client_id,source-email-count-client_id,device_category-count_mobile-client_id,device_category-count_tablet-client_id,event_category-count_Property View-client_id,event_category-count_Client ID-client_id,event_category-count_Property Search-client_id,event_category-count_Scroll Depth-client_id,event_category-count_Property Search Field-client_id,event_category-count_Image View-client_id,event_category-count_Property Form Field-client_id,event_category-count_Property Lead Form-client_id,event_category-count_Inventory Residential Lead-client_id,event_category-count_App Download-client_id,event_category-count_Property Residential Lead-client_id,event_category-count_addthis-client_id,event_category-count_Contact Us-client_id,event_category-count_Promo-client_id,event_category-count_Property Commercial Lead-client_id,event_category-count_Inventory Commercial Lead-client_id,event_category-count_Property Freehold Lead-client_id,event_category-count_Happiness Survey Form-client_id,event_category-count_Outbound links-client_id,event_category-count_Download Form-client_id
5.48142e+16,4,65,1,4,0.06153846153846154,4.0,65.0,4.0,31.0,4,11.0,4,7.75,31.0,4.0,4.0,61,65,2,51,0.9384615384615385,61.0,65.0,51.0,329.0,4,329.0,1,82.25,329.0,4.0,1.0,2.0,4,1.0,2,0.5,2.0,4.0,2.0,0.0,4,0.0,0,0.0,0.0,4.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,65,1,1,0.015384615384615385,1.0,65.0,1.0,0.0,4,0.0,0,0.0,0.0,4.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,False,False,False,google,0,0,0,0,0,4,0,0,0,15,29,5,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6.30414e+16,6,156,1,6,0.038461538461538464,6.0,156.0,6.0,126.0,14,33.0,14,9.0,126.0,14.0,14.0,182,156,8,134,1.1666666666666667,182.0,156.0,134.0,530.0,14,210.0,4,37.857142857142854,530.0,14.0,4.0,3.0,14,1.0,3,0.21428571428571427,3.0,14.0,3.0,1.0,14,1.0,1,0.07142857142857142,1.0,14.0,1.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,156,1,1,0.00641025641025641,1.0,156.0,1.0,100.0,14,100.0,1,7.142857142857143,100.0,14.0,1.0,0.0,0,,0,,0.0,0.0,0.0,377281.0,False,False,False,google,0,0,0,0,0,10,0,0,0,8,68,1,53,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6.77591e+16,2,17,1,2,0.11764705882352941,1.0,8.5,1.0,21.0,3,10.0,3,7.0,10.5,1.5,1.5,29,17,6,13,1.7058823529411764,14.5,8.5,6.5,198.0,3,198.0,1,66.0,99.0,1.5,0.5,1.0,3,1.0,1,0.3333333333333333,0.5,1.5,0.5,0.0,3,0.0,0,0.0,0.0,1.5,0.0,12.0,6,3.0,6,2.0,6.0,3.0,3.0,396.0,6,144.0,6,66.0,198.0,3.0,3.0,204.0,6,48.0,6,34.0,102.0,3.0,3.0,0.0,6,0.0,0,0.0,0.0,3.0,0.0,2,17,1,2,0.11764705882352941,1.0,8.5,1.0,0.0,3,0.0,0,0.0,0.0,1.5,0.0,30.0,6,8.0,4,5.0,15.0,3.0,2.0,0.0,False,False,False,direct,0,0,0,0,0,0,0,6,0,3,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
8.24637e+16,5,30,1,5,0.16666666666666666,5.0,30.0,5.0,25.0,6,7.0,6,4.166666666666667,25.0,6.0,6.0,45,30,5,27,1.5,45.0,30.0,27.0,221.0,6,211.0,2,36.833333333333336,221.0,6.0,2.0,0.0,6,0.0,0,0.0,0.0,6.0,0.0,0.0,6,0.0,0,0.0,0.0,6.0,0.0,10.0,12,2.0,8,0.8333333333333334,10.0,12.0,8.0,442.0,12,184.0,6,36.833333333333336,442.0,12.0,6.0,442.0,12,184.0,6,36.833333333333336,442.0,12.0,6.0,0.0,12,0.0,0,0.0,0.0,12.0,0.0,1,30,1,1,0.03333333333333333,1.0,30.0,1.0,0.0,6,0.0,0,0.0,0.0,6.0,0.0,40.0,12,6.0,12,3.3333333333333335,40.0,12.0,12.0,0.0,False,False,False,leasing_website,0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,0
1.03617e+17,2,57,1,2,0.03508771929824561,2.0,57.0,2.0,76.0,16,10.0,16,4.75,76.0,16.0,16.0,47,57,5,34,0.8245614035087719,47.0,57.0,34.0,1230.0,16,859.0,2,76.875,1230.0,16.0,2.0,2.0,16,1.0,2,0.125,2.0,16.0,2.0,0.0,16,0.0,0,0.0,0.0,16.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,2,57,1,2,0.03508771929824561,2.0,57.0,2.0,0.0,16,0.0,0,0.0,0.0,16.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,False,False,False,google,0,0,0,0,0,16,0,0,0,11,18,2,0,0,0,14,2,0,0,2,0,0,0,0,0,0,0,0,0
1.05287e+17,2,67,1,2,0.029850746268656716,2.0,67.0,2.0,215.0,35,11.0,35,6.142857142857143,215.0,35.0,35.0,32,67,4,22,0.47761194029850745,32.0,67.0,22.0,1003.0,35,1003.0,1,28.65714285714286,1003.0,35.0,1.0,1.0,35,1.0,1,0.02857142857142857,1.0,35.0,1.0,0.0,35,0.0,0,0.0,0.0,35.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,67,1,1,0.014925373134328358,1.0,67.0,1.0,0.0,35,0.0,0,0.0,0.0,35.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,False,False,False,google,0,0,0,0,0,35,0,0,0,23,26,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1.07418e+17,2,8,1,2,0.25,inf,inf,inf,5.0,2,4.0,2,2.5,inf,inf,inf,8,8,2,6,1.0,inf,inf,inf,89.0,2,89.0,1,44.5,inf,inf,inf,0.0,2,0.0,0,0.0,,inf,,0.0,2,0.0,0,0.0,,inf,,6.0,4,2.0,4,1.5,inf,inf,inf,176.0,4,86.0,4,44.0,inf,inf,inf,176.0,4,86.0,4,44.0,inf,inf,inf,0.0,4,0.0,0,0.0,,inf,,0,8,0,0,0.0,,inf,,0.0,2,0.0,0,0.0,,inf,,4.0,4,2.0,2,1.0,inf,inf,inf,0.0,False,False,False,google,0,0,0,0,0,2,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.14669e+17,5,92,1,5,0.05434782608695652,1.6666666666666667,30.666666666666668,1.6666666666666667,122.0,22,20.0,22,5.545454545454546,40.666666666666664,7.333333333333333,7.333333333333333,108,92,8,68,1.173913043478261,36.0,30.666666666666668,22.666666666666668,951.0,22,366.0,4,43.22727272727273,317.0,7.333333333333333,1.3333333333333333,5.0,22,1.0,5,0.22727272727272727,1.6666666666666667,7.333333333333333,1.6666666666666667,0.0,22,0.0,0,0.0,0.0,7.333333333333333,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,3,92,1,3,0.03260869565217391,1.0,30.666666666666668,1.0,0.0,22,0.0,0,0.0,0.0,7.333333333333333,0.0,0.0,0,,0,,0.0,0.0,0.0,370080.0,False,False,False,google,0,0,0,0,0,22,0,0,0,11,31,3,18,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
1.18326e+17,1,10,1,1,0.1,inf,inf,inf,10.0,3,6.0,3,3.3333333333333335,inf,inf,inf,9,10,2,7,0.9,inf,inf,inf,92.0,3,92.0,1,30.666666666666668,inf,inf,inf,0.0,3,0.0,0,0.0,,inf,,1.0,3,1.0,1,0.3333333333333333,inf,inf,inf,0.0,0,,0,,,,,0.0,0,,0,,,,,0.0,0,,0,,,,,0.0,0,,0,,,,,1,10,1,1,0.1,inf,inf,inf,0.0,3,0.0,0,0.0,,inf,,0.0,0,,0,,,,,0.0,False,False,False,google,0,0,0,0,0,3,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.27734e+17,1,58,1,1,0.017241379310344827,1.0,58.0,1.0,100.0,24,10.0,24,4.166666666666667,100.0,24.0,24.0,42,58,3,30,0.7241379310344828,42.0,58.0,30.0,1789.0,24,1789.0,1,74.54166666666667,1789.0,24.0,1.0,1.0,24,1.0,1,0.041666666666666664,1.0,24.0,1.0,0.0,24,0.0,0,0.0,0.0,24.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,0,,0,,0.0,0.0,0.0,1,58,1,1,0.017241379310344827,1.0,58.0,1.0,0.0,24,0.0,0,0.0,0.0,24.0,0.0,0.0,0,,0,,0.0,0.0,0.0,0.0,False,False,False,google,0,0,0,0,0,24,0,0,0,15,22,9,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
