lead_id,converted_to_tenant,sessions-count_not_na-lead_id,hits-sum-lead_id,hits-count_not_na-lead_id,unique_events-sum-lead_id,unique_events-mean-lead_id,page_per_session-sum-lead_id,pageviews-sum-lead_id,time_on_page-sum-lead_id,lead_dropped-sum-lead_id,lead_dropped-mean-lead_id,source-google-count-lead_id,device_category-count_tablet-lead_id,event_category-count_Inventory Residential Lead-lead_id,client_id,sessions-sum-client_id,sessions-count_not_na-client_id,sessions-max-client_id,sessions-mean-client_id,sessions-sum_per_lead-client_id,sessions-count_not_na_per_lead-client_id,unique_events-max-client_id,unique_events-mean-client_id,session_duration-max-client_id,session_duration-mean-client_id,page_per_session-max-client_id,page_per_session-mean-client_id,enquiries-sum-client_id,enquiries-max-client_id,enquiries-mean-client_id,enquiries-sum_per_lead-client_id,pageviews-sum-client_id,pageviews-max-client_id,pageviews-mean-client_id,pageviews-sum_per_lead-client_id,time_on_page-max-client_id,time_on_page-mean-client_id,avg_time_on_page-mean-client_id,property_search-sum-client_id,property_search-max-client_id,property_search-mean-client_id,property_search-sum_per_lead-client_id,lead_dropped-sum-client_id,lead_dropped-mean-client_id,bounce_rate-sum-client_id,bounce_rate-max-client_id,bounce_rate-mean-client_id,total_events-sum-client_id,timestamp-gap-client_id,social_source_referral-value-client_id,contact_us_click-value-client_id,app_downloads-value-client_id,source-mode-client_id,source-google-count-client_id,device_category-count_tablet-client_id,event_category-count_Property View-client_id,event_category-count_Property Search-client_id,event_category-count_Scroll Depth-client_id,event_category-count_Property Search Field-client_id,event_category-count_Image View-client_id,event_category-count_Property Form Field-client_id,event_category-count_App Download-client_id,event_category-count_Property Residential Lead-client_id,event_category-count_addthis-client_id,event_category-count_Contact Us-client_id,event_category-count_Promo-client_id,event_category-count_Property Commercial Lead-client_id,event_category-count_Property Freehold Lead-client_id,event_category-count_Happiness Survey Form-client_id,event_category-count_Download Form-client_id
298428,1,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,7.45021e+18,10,1128,1,0.008865248226950355,0.47619047619047616,53.714285714285715,13,0.7464539007092199,2133.0,43.14222222222222,1.0,0.044444444444444446,5.0,1.0,0.022222222222222223,0.23809523809523808,434.0,8.0,1.9288888888888889,20.666666666666668,623.0,83.04,47.19762962955556,4.0,1.0,0.021739130434782608,0.19047619047619047,40,0.03546099290780142,100.0,100.0,0.4444444444444444,2550.0,378720.0,False,False,False,google,225,0,91,24,326,140,0,180,0,0,0,0,0,0,0,0,0
298211,1,4,0.0,0,4,1.0,0.0,0.0,0.0,2,0.5,0,0,2,7.45021e+18,10,1128,1,0.008865248226950355,0.47619047619047616,53.714285714285715,13,0.7464539007092199,2133.0,43.14222222222222,1.0,0.044444444444444446,5.0,1.0,0.022222222222222223,0.23809523809523808,434.0,8.0,1.9288888888888889,20.666666666666668,623.0,83.04,47.19762962955556,4.0,1.0,0.021739130434782608,0.19047619047619047,40,0.03546099290780142,100.0,100.0,0.4444444444444444,2550.0,378720.0,False,False,False,google,225,0,91,24,326,140,0,180,0,0,0,0,0,0,0,0,0
297129,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,1.03136e+19,4,109,1,0.03669724770642202,4.0,109.0,7,1.018348623853211,829.0,65.86666666666666,1.0,0.06666666666666667,1.0,1.0,0.06666666666666667,1.0,21.0,3.0,1.3125,21.0,299.0,61.9375,38.822916666875,1.0,1.0,0.0625,1.0,1,0.009174311926605505,0.0,0.0,0.0,123.0,12400.0,False,False,False,google,14,0,14,4,29,16,0,9,0,0,0,0,0,0,0,0,0
297319,0,2,0.0,0,2,1.0,0.0,0.0,0.0,2,1.0,0,0,0,1.86281e+19,23,448,1,0.05133928571428571,23.0,448.0,13,1.2700892857142858,992.0,75.15384615384616,1.0,0.1282051282051282,1.0,1.0,0.02564102564102564,1.0,0.0,,,0.0,,,,0.0,,,0.0,2,0.004464285714285714,200.0,100.0,5.128205128205129,0.0,8641.000000000002,False,False,False,google,27,0,33,13,166,22,3,1,0,2,0,0,2,0,0,0,0
297398,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,4.69343e+18,2,75,1,0.02666666666666667,2.0,75.0,8,1.2,1398.0,157.30769230769232,1.0,0.07692307692307693,1.0,1.0,0.07692307692307693,1.0,10.0,2.0,0.7692307692307693,10.0,1398.0,157.3846153846154,151.65384615384616,1.0,1.0,0.07692307692307693,1.0,1,0.013333333333333334,0.0,0.0,0.0,57.0,0.0,False,False,True,google,13,0,6,2,22,9,0,8,1,0,0,0,0,0,0,0,0
297654,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,2.09697e+19,3,117,1,0.02564102564102564,3.0,117.0,11,1.0512820512820513,1318.0,74.28,1.0,0.08,1.0,1.0,0.04,1.0,0.0,,,0.0,,,,0.0,,,0.0,1,0.008547008547008548,0.0,0.0,0.0,0.0,0.0,False,False,False,client,0,0,15,5,26,13,3,17,0,0,0,0,0,0,0,0,0
298344,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,4.6365e+18,3,230,1,0.013043478260869565,3.0,230.0,9,0.8956521739130435,848.0,66.3076923076923,1.0,0.07692307692307693,1.0,1.0,0.07692307692307693,1.0,0.0,,,0.0,,,,0.0,,,0.0,1,0.004347826086956522,0.0,0.0,0.0,0.0,0.0,False,False,False,google,13,0,28,5,68,16,0,11,0,0,0,0,0,0,0,0,0
298456,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,9.02356e+18,3,68,1,0.04411764705882353,1.5,34.0,7,1.0,841.0,57.125,1.0,0.125,1.0,1.0,0.0625,0.5,0.0,,,0.0,,,,0.0,,,0.0,2,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,False,False,False,client,0,0,6,0,27,0,0,13,0,0,0,0,0,0,0,0,0
288931,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,5.38584e+18,2,147,1,0.013605442176870748,2.0,147.0,10,1.1156462585034013,1194.0,56.857142857142854,1.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,1,0.006802721088435374,0.0,0.0,0.0,0.0,0.0,False,False,False,email,0,0,25,2,54,2,0,0,0,0,0,0,0,0,0,0,0
290445,0,2,0.0,0,2,1.0,0.0,0.0,0.0,1,0.5,0,0,1,5.32394e+18,3,206,1,0.014563106796116505,0.75,51.5,4,0.8349514563106796,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,5,0.024271844660194174,0.0,0.0,0.0,0.0,0.0,False,False,False,google,2,0,21,0,3,0,0,0,0,0,0,0,0,0,0,0,0
